game_date,game_loc,away_team,away_team_score,home_team,home_team_score,total_score,max_temp_C,min_temp_C,precipitation_mm,max_wind_speed_kmh,dominant_wind_dir_deg
2022-05-07,Progressive Field,Toronto Blue Jays,2,Cleveland Guardians,8,10,25.0,13.9,0.2,17.0,353.0
2022-05-07,Minute Maid Park,Detroit Tigers,2,Houston Astros,3,5,6.9,2.0,0.0,9.4,64.0
2022-05-07,Target Field,Oakland Athletics,0,Minnesota Twins,1,1,15.9,3.7,0.1,16.8,292.0
2022-05-07,Petco Park,Miami Marlins,8,San Diego Padres,0,8,26.7,16.9,0.0,26.9,63.0
2022-05-07,T-Mobile Park,Tampa Bay Rays,8,Seattle Mariners,2,10,16.7,0.8,0.0,22.2,300.0
2022-05-07,Oracle Park,St. Louis Cardinals,7,San Francisco Giants,13,20,12.1,11.2,0.0,37.7,348.0
2022-05-08,Angel Stadium of Anaheim,Washington Nationals,4,Los Angeles Angels,5,9,22.5,12.3,0.0,18.5,87.0
2022-05-08,Chase Field,Colorado Rockies,0,Arizona Diamondbacks,4,4,34.3,22.1,0.0,35.2,240.0
2022-05-08,Truist Park,Milwaukee Brewers,2,Atlanta Braves,9,11,9.2,-2.8,3.4,22.7,49.0
2022-05-08,Oriole Park at Camden Yards,Kansas City Royals,6,Baltimore Orioles,4,10,31.3,16.8,0.0,14.2,73.0
2022-05-08,Oriole Park at Camden Yards,Kansas City Royals,2,Baltimore Orioles,4,6,31.3,16.8,0.0,14.2,73.0
2022-05-08,Fenway Park,Chicago White Sox,3,Boston Red Sox,2,5,12.1,-1.8,0.0,8.7,191.0
2022-05-08,Wrigley Field,Los Angeles Dodgers,7,Chicago Cubs,1,8,22.1,14.4,8.7,20.8,59.0
2022-05-08,Great American Ball Park,Pittsburgh Pirates,3,Cincinnati Reds,7,10,29.0,20.2,0.0,36.4,60.0
2022-05-08,Progressive Field,Toronto Blue Jays,3,Cleveland Guardians,4,7,22.9,11.8,0.1,19.5,20.0
